FSBL1386_chromosome00001	FSFC1386_chromosome00001	100.000	3341929	0	0	1999234	5341162	1	3341929	0.0	6.171e+06
FSBL1386_chromosome00001	FSFC1386_chromosome00001	100.000	1998734	0	0	1	1998734	3341930	5340663	0.0	3.691e+06
FSBL1386_chromosome00001	FSFC1386_chromosome00001	98.864	5548	43	18	5152335	5157877	2247379	2252911	0.0	9878
FSBL1386_chromosome00001	FSFC1386_chromosome00001	98.864	5548	43	18	4246612	4252144	3153102	3158644	0.0	9878
FSBL1386_chromosome00001	FSFC1386_chromosome00001	99.661	5316	16	2	5015767	5021081	2629611	2634925	0.0	9716
FSBL1386_chromosome00001	FSFC1386_chromosome00001	99.661	5316	16	2	4628844	4634158	3016534	3021848	0.0	9716
FSBL1386_chromosome00001	FSFC1386_chromosome00001	99.266	5315	38	1	1273497	1278810	3021750	3016436	0.0	9598
FSBL1386_chromosome00001	FSFC1386_chromosome00001	99.285	5312	37	1	5015672	5020983	4620736	4615426	0.0	9598
FSBL1386_chromosome00001	FSFC1386_chromosome00001	99.387	5216	32	0	1273497	1278712	2634826	2629611	0.0	9455
FSBL1386_chromosome00001	FSFC1386_chromosome00001	99.405	5213	31	0	4628847	4634059	4620638	4615426	0.0	9455
FSBL1386_chromosome00001	FSFC1386_chromosome00001	98.573	5256	48	20	5152733	5157983	3061515	3066748	0.0	9265
FSBL1386_chromosome00001	FSFC1386_chromosome00001	98.573	5256	48	20	5060748	5065981	3153500	3158750	0.0	9265
FSBL1386_chromosome00001	FSFC1386_chromosome00001	98.545	5223	57	10	1273324	1278544	3291772	3286567	0.0	9206
FSBL1386_chromosome00001	FSFC1386_chromosome00001	98.545	5223	57	10	5285800	5291005	4620473	4615253	0.0	9206
FSBL1386_chromosome00001	FSFC1386_chromosome00001	98.987	5135	45	5	5060748	5065878	2247771	2252902	0.0	9188
FSBL1386_chromosome00001	FSFC1386_chromosome00001	98.987	5135	45	5	4247004	4252135	3061515	3066645	0.0	9188
FSBL1386_chromosome00001	FSFC1386_chromosome00001	99.346	5049	28	3	5285800	5290844	2629779	2634826	0.0	9136
FSBL1386_chromosome00001	FSFC1386_chromosome00001	99.346	5049	28	3	4629012	4634059	3286567	3291611	0.0	9136
FSBL1386_chromosome00001	FSFC1386_chromosome00001	99.327	5050	28	4	5285800	5290844	3016702	3021750	0.0	9132
FSBL1386_chromosome00001	FSFC1386_chromosome00001	99.327	5050	28	4	5015935	5020983	3286567	3291611	0.0	9132
FSBL1386_chromosome00001	FSFC1386_chromosome00001	99.790	3332	7	0	1275479	1278810	3064580	3061249	0.0	6115
FSBL1386_chromosome00001	FSFC1386_chromosome00001	99.790	3332	7	0	5060482	5063813	4620739	4617408	0.0	6115
FSBL1386_chromosome00001	FSFC1386_chromosome00001	99.640	3330	12	0	5285536	5288865	3153236	3156565	0.0	6083
FSBL1386_chromosome00001	FSFC1386_chromosome00001	99.640	3330	12	0	5152469	5155798	3286303	3289632	0.0	6083
FSBL1386_chromosome00001	FSFC1386_chromosome00001	99.370	3335	20	1	5060480	5063813	3016434	3019768	0.0	6041
FSBL1386_chromosome00001	FSFC1386_chromosome00001	99.370	3335	20	1	5015667	5019001	3061247	3064580	0.0	6041
FSBL1386_chromosome00001	FSFC1386_chromosome00001	99.629	3234	12	0	5060580	5063813	2629611	2632844	0.0	5906
